City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Antofagasta,ZA,-33.0153,27.9116,59.94,94,20,6.91,few clouds
81,Los Llanos De Aridane,CL,-23.65,-70.4,56.48,84,83,8.19,broken clouds
82,Balkanabat,ES,28.6585,-17.9182,69.12,93,75,20.71,broken clouds
83,Amderma,TM,39.5108,54.3671,92.43,26,0,13.76,clear sky
84,Ostrovnoy,RU,43.3056,44.9789,66.22,70,5,3.06,clear sky
85,Hambantota,RU,68.0531,39.5131,62.91,78,63,16.44,broken clouds
86,Whitehorse,LK,6.1241,81.1185,82.58,69,88,4.07,overcast clouds
87,Tiksi,CA,60.7161,-135.0538,55.31,67,100,14.97,light intensity shower rain
88,Nikolskoye,RU,71.6872,128.8694,70.43,56,90,7.54,overcast clouds
89,Kinkala,RU,59.7035,30.7861,60.69,75,0,4.56,clear sky
90,Hofn,CG,-4.3614,14.7644,62.74,92,21,4.81,few clouds
91,Hewitt,IS,64.2539,-15.2082,52.68,98,100,18.99,overcast clouds
92,Ust-Ishim,US,31.4624,-97.1958,89.11,57,0,14.97,clear sky
93,Ancud,RU,57.6935,71.1665,62.33,72,100,9.44,overcast clouds
94,Yashkul,CL,-41.8697,-73.8203,42.85,92,24,2.62,few clouds
95,Lephepe,RU,46.1711,45.3435,72.21,67,43,3.94,scattered clouds
96,Tocopilla,BD,25.6649,88.9247,85.64,72,98,3.44,moderate rain
97,Tazmalt,CL,-22.092,-70.1979,61.11,73,94,9.98,overcast clouds
98,Sitka,DZ,36.3868,4.3989,74.5,66,0,1.43,clear sky
99,Hithadhoo,US,57.0531,-135.33,60.69,77,100,5.75,overcast clouds
100,Eureka,MV,-0.6,73.0833,82.8,73,100,11.79,overcast clouds
101,El Wasta,US,40.8021,-124.1637,59.2,86,13,5.23,few clouds
102,Sayhat,MX,22.8909,-109.9124,85.51,75,44,1.01,scattered clouds
103,Pangnirtung,SA,26.4852,50.0405,93.42,56,100,12.44,overcast clouds
104,Carquefou,CA,66.1451,-65.7125,54.09,69,100,1.25,overcast clouds
105,Thinadhoo,FR,47.2982,-1.4902,62.67,77,0,4.61,clear sky
106,Inyonga,MV,0.5333,72.9333,83.23,73,95,13.8,overcast clouds
107,Husavik,TZ,-6.7167,32.0667,60.51,62,42,5.26,scattered clouds
108,Sirsa,IS,66.0449,-17.3389,52.09,82,25,9.69,scattered clouds
109,Jamestown,IN,29.5333,75.0167,90.75,57,92,7.14,overcast clouds
110,Vila,US,42.097,-79.2353,72.99,73,100,9.22,overcast clouds
111,Olpad,PT,42.0304,-8.1588,52.68,86,4,1.01,clear sky
112,Eravur,IN,21.3333,72.75,85.98,74,87,5.68,overcast clouds
113,Constitucion,LK,7.7733,81.6095,82.92,70,94,4.16,overcast clouds
114,Komsomolskiy,CL,-35.3333,-72.4167,48.04,73,6,4.94,clear sky
115,Kayerkan,UZ,40.4272,71.7189,90.32,27,4,6.91,clear sky
116,Oktyabrskoye,RU,69.3497,87.7602,59.52,76,98,9.35,overcast clouds
117,Port Elizabeth,RU,43.0645,44.7417,62.74,93,10,0.0,clear sky
118,Maniitsoq,ZA,-33.918,25.5701,57.31,98,75,5.01,broken clouds
119,Eidsvag,GL,65.4167,-52.9,41.23,85,39,9.93,scattered clouds
120,Ribas Do Rio Pardo,NO,62.7767,8.0668,50.05,86,32,1.81,scattered clouds
121,Moindou,BR,-20.4431,-53.7592,68.18,36,11,4.27,few clouds
122,Cockburn Town,NC,-21.6924,165.677,73.02,65,100,8.43,overcast clouds
123,Kapaa,TC,21.4612,-71.1419,81.16,77,0,20.92,clear sky
124,Prince Rupert,US,22.0752,-159.319,84.18,73,75,16.11,broken clouds
125,Geraldton,CA,54.3161,-130.3201,64.09,79,0,12.66,clear sky
126,Vaitupu,AU,-28.7667,114.6,70.21,68,73,11.5,broken clouds
127,Attawapiskat,MX,21.0167,-102.1667,57.49,88,70,6.2,light rain
128,Yaan,TO,-21.2,-175.2,77.16,88,75,8.05,broken clouds
129,Tres Arroyos,NG,7.3833,8.5667,70.7,97,100,4.99,overcast clouds
130,Samusu,AR,-38.3739,-60.2798,47.64,91,100,14.85,overcast clouds
131,Russell,AU,-17.0,145.4333,74.48,66,3,7.4,clear sky
132,Khatanga,US,32.3502,-85.1999,80.2,83,0,0.0,clear sky
133,Cidreira,RU,71.9667,102.5,72.39,45,94,4.09,overcast clouds
134,Namibe,BR,-30.1811,-50.2056,61.11,88,100,4.81,overcast clouds
135,Sabha,AO,-15.1961,12.1522,61.2,79,75,7.11,broken clouds
136,Quatre Cocos,LY,27.0377,14.4283,79.03,16,0,9.37,clear sky
137,General Roca,MU,-20.2078,57.7625,71.1,77,24,11.07,few clouds
138,Broken Hill,AR,-39.0333,-67.5833,44.62,64,1,15.82,clear sky
139,Sorong,AU,-31.95,141.4333,60.26,32,6,5.7,clear sky
140,Bluff,ID,-0.8833,131.25,82.13,79,28,4.36,scattered clouds
141,Vestmannaeyjar,NZ,-46.6,168.3333,47.8,86,100,11.52,overcast clouds
142,Yafran,IS,63.4427,-20.2734,51.58,74,97,16.98,overcast clouds
143,Fort Nelson,LY,32.0633,12.5286,75.74,32,0,7.67,clear sky
144,Adrar,CA,58.8053,-122.7002,76.59,53,20,4.61,few clouds
145,Chicama,MR,20.5022,-10.0711,94.12,9,0,8.81,clear sky
146,Mys Shmidta,PE,-7.8447,-79.1469,57.74,86,39,6.53,scattered clouds
147,Moerai,IN,26.9147,70.9181,80.78,80,100,17.72,overcast clouds
148,Hihya,PF,-22.4333,-151.3333,71.89,70,99,24.45,overcast clouds
149,Wuwei,EG,30.6713,31.588,73.99,64,0,3.76,clear sky
150,Muzhi,CN,37.9281,102.6414,88.32,16,46,3.24,scattered clouds
151,Callaway,RU,65.3667,64.6667,70.59,46,34,10.33,scattered clouds
152,Hervey Bay,US,30.153,-85.5699,80.91,89,20,1.99,few clouds
153,Catia La Mar,AU,-25.2986,152.8535,66.7,54,3,9.31,clear sky
154,Luang Prabang,VE,10.6038,-67.0303,77.2,88,75,5.75,broken clouds
155,Chumikan,LA,19.8856,102.1347,87.76,62,20,4.61,few clouds
156,Plouzane,RU,54.7183,135.315,65.43,76,7,11.05,clear sky
157,Christchurch,FR,48.3833,-4.6167,57.25,97,0,5.75,moderate rain
158,Illoqqortoormiut,NZ,-43.5333,172.6333,50.92,88,75,8.05,broken clouds
159,Ambodifototra,MX,21.1743,-86.8466,82.33,83,40,9.22,scattered clouds
160,Brooks,RU,55.1033,99.3875,70.12,44,100,5.32,overcast clouds
161,Erzin,CA,50.5834,-111.8851,68.04,75,9,2.3,clear sky
162,Airai,TR,36.9559,36.2,80.2,47,0,0.49,clear sky
163,Touros,TL,-8.9266,125.4092,71.01,46,13,5.44,few clouds
164,Karamea,BR,-5.1989,-35.4608,72.72,86,36,12.12,scattered clouds
165,Provideniya,NA,-26.6481,15.1594,53.87,75,0,2.33,clear sky
166,Finnsnes,RU,64.3833,-173.3,46.51,100,100,4.47,light rain
167,Fraserburgh,NO,69.2296,17.9811,48.81,88,100,3.02,light rain
168,Lambarene,GB,57.6874,-2.0184,51.12,87,94,8.99,overcast clouds
169,Ilulissat,GA,-0.7001,10.2406,69.84,93,83,3.62,broken clouds
170,Gayny,GL,69.2167,-51.1,42.82,93,100,1.14,overcast clouds
171,Chapeco,RU,60.3071,54.3241,65.28,58,13,0.87,few clouds
172,Chepareria,BR,-27.0964,-52.6183,58.17,93,94,2.89,overcast clouds
173,Dikson,KE,1.3077,35.2039,59.41,89,86,3.42,overcast clouds
174,Nanortalik,RU,73.5069,80.5464,40.55,94,61,13.49,broken clouds
175,Laguna,GL,60.1432,-45.2371,42.3,85,97,9.48,overcast clouds
176,Pathein,US,38.421,-121.4238,82.76,50,0,10.36,clear sky
177,Chimbote,MM,16.7833,94.7333,89.37,61,12,9.8,few clouds
178,Grajau,PE,-9.0853,-78.5783,62.67,84,85,8.08,overcast clouds
179,Upernavik,BR,-5.8194,-46.1386,77.81,47,51,0.74,broken clouds
180,Nshamba,GL,72.7868,-56.1549,40.32,85,100,1.72,overcast clouds
181,Nizhneyansk,TZ,-1.7983,31.5511,66.07,62,96,1.86,overcast clouds
182,Coihaique,EG,31.3525,27.2453,76.91,67,0,4.83,clear sky
183,Rangapara,CL,-45.5752,-72.0662,39.81,65,0,3.44,clear sky
184,Daru,IN,26.8167,92.65,85.15,79,45,4.83,scattered clouds
185,Arman,PG,-9.0763,143.2092,78.12,88,43,19.55,scattered clouds
186,Manavalakurichi,RU,59.7,150.1667,73.02,69,30,8.61,scattered clouds
187,Alofi,IN,8.1333,77.3,81.39,75,48,9.91,scattered clouds
188,Luau,NU,-19.0595,-169.9187,76.89,83,18,13.8,few clouds
189,Mar Del Plata,AO,-10.7073,22.2247,55.02,51,74,4.61,broken clouds
190,Saint George,AR,-38.0023,-57.5575,51.1,57,100,18.41,overcast clouds
191,Olafsvik,US,37.1041,-113.5841,75.43,77,0,10.36,clear sky
192,Tsihombe,IS,64.8945,-23.7142,47.93,87,100,27.38,overcast clouds
193,Talalayivka,BR,-22.9661,-42.0278,69.48,80,0,24.25,clear sky
194,Belushya Guba,UA,50.9578,31.9209,61.11,83,78,8.66,broken clouds
195,Necochea,MY,5.4112,100.3354,89.53,66,20,8.05,few clouds
196,Lere,AR,-38.5473,-58.7368,49.33,95,100,15.95,light rain
197,Mehamn,NG,10.387,8.5726,68.2,95,89,2.57,moderate rain
198,Kamiiso,NO,71.0357,27.8492,49.95,93,75,19.57,light rain
199,Lakshmipur,JP,41.8167,140.65,75.58,83,75,8.05,broken clouds
200,Norman Wells,BD,22.95,90.8333,88.7,61,88,4.76,overcast clouds
201,Inhambane,CA,65.282,-126.8329,62.64,55,75,3.44,broken clouds
202,Aklavik,MZ,-23.865,35.3833,55.38,100,20,3.44,mist
203,Yumen,CA,68.2191,-135.0107,52.75,63,89,11.34,overcast clouds
204,Karasjok,CN,40.2833,97.2,89.53,13,76,16.78,broken clouds
205,Barentsburg,NO,69.4719,25.5112,47.46,86,100,21.59,overcast clouds
206,Dzhebariki-Khaya,AU,-41.1667,146.35,54.09,51,100,8.77,overcast clouds
207,Kodiak,RU,62.2167,135.8,84.97,36,10,5.17,clear sky
208,Kruisfontein,US,57.79,-152.4072,56.71,62,0,4.61,clear sky
209,Marigot,ZA,-34.0033,24.7314,51.73,91,2,5.12,clear sky
210,Nome,MF,18.0667,-63.0833,82.04,74,40,9.22,scattered clouds
211,Bambous Virieux,US,64.5011,-165.4064,54.16,82,100,12.66,overcast clouds
212,Yellowknife,MU,-20.3428,57.7575,71.22,83,40,6.91,scattered clouds
213,Luanda,CA,62.456,-114.3525,66.56,68,75,11.01,broken clouds
214,Aksay,AO,-8.8368,13.2343,69.01,87,100,2.17,overcast clouds
215,Chuy,RU,47.26,39.87,70.25,69,0,5.01,clear sky
216,Sola,UY,-33.6971,-53.4616,60.3,97,100,6.91,light rain
217,Great Falls,VU,-13.8833,167.55,80.01,78,99,10.85,overcast clouds
218,San Patricio,US,47.5002,-111.3008,74.59,40,0,11.5,clear sky
219,Sendhwa,US,28.017,-97.5169,84.09,72,3,13.02,clear sky
220,Omsukchan,IN,21.6833,75.1,79.88,76,91,4.09,overcast clouds
221,Praia Da Vitoria,RU,62.5333,155.8,61.23,34,69,7.78,broken clouds
222,Meulaboh,PT,38.7333,-27.0667,72.75,83,75,8.19,mist
223,Vysokogornyy,ID,4.1363,96.1285,83.95,66,92,2.37,overcast clouds
224,Jumla,RU,50.1167,139.15,77.97,52,100,6.96,overcast clouds
225,Chokurdakh,NP,29.2747,82.1838,67.68,84,100,3.27,overcast clouds
226,Genhe,RU,70.6333,147.9167,62.02,33,88,14.52,overcast clouds
227,Longyearbyen,CN,50.7833,121.5167,72.48,64,100,7.67,overcast clouds
228,Broome,SJ,78.2186,15.6401,42.64,81,75,18.41,broken clouds
229,Wangou,US,42.2506,-75.833,72.7,86,87,1.01,overcast clouds
230,Yulara,CN,42.0623,126.9127,82.87,51,99,3.56,overcast clouds
231,Saldanha,AU,-25.2406,130.9889,63.88,16,12,12.95,few clouds
232,La Ronge,ZA,-33.0117,17.9442,42.85,69,0,7.58,clear sky
233,Berdyuzhye,CA,55.1001,-105.2842,57.45,72,20,0.0,few clouds
234,Maceio,US,33.194,-82.5271,81.55,62,59,7.43,broken clouds
235,Banepa,BR,-9.6658,-35.7353,72.84,88,75,4.61,broken clouds
236,Richards Bay,NP,27.6298,85.5214,71.92,83,75,3.44,broken clouds
237,Kumo,ZA,-28.783,32.0377,62.47,89,89,4.99,overcast clouds
238,Lavrentiya,NG,10.0447,11.2122,70.68,93,100,6.22,overcast clouds
239,Natchez,RU,65.5833,-171.0,41.81,83,100,6.82,overcast clouds
240,Mullaitivu,US,31.5604,-91.4032,75.42,94,0,5.75,clear sky
241,Altay,RU,50.6789,156.125,54.93,88,96,5.91,overcast clouds
242,Lompoc,CN,47.8667,88.1167,79.93,24,11,5.61,few clouds
243,Mecca,US,34.6391,-120.4579,62.78,85,100,9.22,overcast clouds
244,Bubaque,SA,21.4267,39.8261,87.01,60,83,11.21,broken clouds
245,Fairbanks,GW,11.2833,-15.8333,79.9,77,99,7.23,overcast clouds
246,Kalispell,US,64.8378,-147.7164,61.61,57,40,13.8,scattered clouds
247,Santa Cruz De Tenerife,US,48.1958,-114.3129,75.67,64,0,3.44,clear sky
248,Nouadhibou,ES,28.4682,-16.2546,72.63,89,100,27.63,mist
249,Tasiilaq,MR,20.931,-17.0347,73.38,78,4,23.02,clear sky
250,Bengkulu,GL,65.6145,-37.6368,42.96,96,92,5.53,overcast clouds
251,Anadyr,ID,-3.8004,102.2655,84.9,65,52,3.0,broken clouds
252,Port Hardy,RU,64.75,177.4833,48.7,87,75,20.13,broken clouds
253,Mount Gambier,CA,50.6996,-127.4199,62.78,88,20,4.61,fog
254,Yanan,AU,-37.8333,140.7667,51.62,74,97,7.94,light rain
255,Tura,US,41.3776,-71.8273,73.26,88,0,5.75,clear sky
256,Vila Velha,IN,25.5198,90.2201,81.66,83,44,4.18,scattered clouds
257,Ust-Maya,BR,-20.3297,-40.2925,65.95,89,20,1.14,few clouds
258,Porgera,RU,60.4167,134.5333,87.31,35,71,2.66,broken clouds
259,Tiznit,PG,-5.4667,143.2,54.3,73,50,3.56,scattered clouds
260,San Calixto,MA,29.5833,-9.5,73.31,57,0,2.08,clear sky
261,High Prairie,CO,8.4021,-73.2074,59.32,99,88,1.3,overcast clouds
262,Bairnsdale,CA,55.4334,-116.4858,69.8,63,1,7.23,clear sky
263,Ilhabela,AU,-37.8333,147.6167,57.06,67,88,3.0,overcast clouds
264,Pingdu,BR,-23.7781,-45.3581,66.69,87,39,4.05,scattered clouds
265,Seoul,CN,36.7844,119.9464,86.81,65,86,6.2,overcast clouds
266,Annaka,KR,37.5683,126.9778,90.97,55,20,6.91,few clouds
267,Yakeshi,JP,36.3167,138.9,92.7,56,99,4.85,overcast clouds
268,Sens,CN,49.2833,120.7333,72.07,74,100,4.65,overcast clouds
269,Baherden,FR,48.1667,3.3333,55.36,60,74,4.59,broken clouds
270,Soyo,TM,38.4362,57.4316,89.62,28,98,10.74,overcast clouds
271,Salta,AO,-6.1349,12.3689,68.81,90,98,4.25,overcast clouds
272,Grindavik,AR,-24.7859,-65.4117,69.58,70,75,3.44,broken clouds
273,Kavieng,IS,63.8424,-22.4338,48.67,87,75,23.02,light intensity drizzle
274,Canyon,PG,-2.5744,150.7967,84.96,72,25,18.16,light rain
275,Comodoro Rivadavia,US,34.9803,-101.9188,84.52,39,94,10.0,overcast clouds
276,Changli,AR,-45.8667,-67.5,44.46,42,0,18.41,clear sky
277,Kenai,CN,39.7042,119.1506,74.3,92,100,7.47,heavy intensity rain
278,Nemuro,US,60.5544,-151.2583,70.03,50,0,8.05,clear sky
279,Asyut,JP,43.3236,145.575,64.96,91,43,4.9,scattered clouds
280,Arrecife,EG,27.181,31.1837,82.65,19,1,3.69,clear sky
281,Bhag,ES,28.963,-13.5477,71.58,78,20,19.57,few clouds
282,Bac Lieu,PK,29.0415,67.8239,91.51,59,99,4.52,overcast clouds
283,Aswan,VN,9.285,105.7244,86.77,65,69,4.63,broken clouds
284,Sinnamary,EG,24.0934,32.907,85.44,19,25,7.07,scattered clouds
285,Diamantino,GF,5.3833,-52.95,76.42,88,96,5.32,overcast clouds
286,Grand River South East,BR,-14.4086,-56.4461,69.76,42,0,5.08,clear sky
287,Baykit,RU,67.45,153.6833,58.5,40,100,10.4,overcast clouds
288,Guerrero Negro,RU,61.67,96.37,68.68,79,100,3.47,overcast clouds
289,Pisco,MX,27.9769,-114.0611,68.54,83,67,14.79,broken clouds
290,Harstad,PE,-13.7,-76.2167,57.25,88,20,1.14,few clouds
291,Saleaula,NO,68.799,16.5293,49.39,100,98,15.99,overcast clouds
292,Valparaiso,CN,44.0167,87.3167,93.99,15,0,2.24,clear sky
293,Churapcha,CL,-33.0393,-71.6273,53.47,77,40,4.61,scattered clouds
294,Chenghai,RU,62.0025,132.4325,88.63,33,16,6.67,few clouds
295,Shuyskoye,CN,23.4632,116.768,94.91,63,20,2.24,few clouds
296,Espanola,RU,59.3736,41.0305,67.24,94,67,5.57,broken clouds
297,Catabola,US,35.9911,-106.0806,68.65,64,100,3.44,overcast clouds
298,Namatanai,AO,-12.15,17.2833,50.45,40,100,1.48,overcast clouds
299,Sheltozero,PG,-3.6667,152.4333,84.97,67,69,13.09,broken clouds
300,Oistins,RU,61.3667,35.3667,61.18,90,100,3.89,overcast clouds
301,Bulgan,BB,13.0667,-59.5333,80.69,78,20,19.57,few clouds
302,Mercedes,MN,48.8125,103.5347,57.18,78,83,4.38,broken clouds
303,Sioux Lookout,AR,-34.6515,-59.4307,59.79,93,100,13.96,overcast clouds
304,Jinchang,CA,50.1001,-91.917,57.27,94,75,9.22,broken clouds
305,Juneau,CN,38.4953,102.1739,88.0,13,23,1.19,few clouds
306,Ciudad Bolivar,US,58.3019,-134.4197,62.6,99,100,0.0,light rain
307,Moranbah,VE,8.1222,-63.5497,78.78,75,9,7.11,clear sky
308,Bull Savanna,AU,-22.0016,148.0466,66.85,31,0,15.32,clear sky
309,Tual,JM,17.8868,-77.5902,75.72,85,48,5.32,scattered clouds
310,Iquique,ID,-5.6667,132.75,79.0,84,39,21.7,scattered clouds
311,Tuy Hoa,CL,-20.2208,-70.1431,59.04,78,60,2.17,broken clouds
312,Ankpa,VN,13.0833,109.3,91.58,56,10,2.15,clear sky
313,Oxapampa,NG,7.3706,7.6253,71.31,94,100,8.7,overcast clouds
314,Atherton,PE,-10.5775,-75.4017,58.8,89,54,2.28,broken clouds
315,Moose Factory,GB,53.5237,-2.4935,60.22,95,100,1.99,overcast clouds
316,Palana,CA,51.2585,-80.6094,62.6,100,100,6.91,light rain
317,Isla Vista,RU,59.1167,159.9667,51.93,79,78,10.69,broken clouds
318,Bandar-E Lengeh,US,34.4133,-119.861,72.91,70,0,5.75,clear sky
319,Bouake,IR,26.5579,54.8807,87.91,70,75,13.8,broken clouds
320,Okhotsk,CI,7.6895,-5.0218,71.71,100,75,11.5,broken clouds
321,Ponta Do Sol,RU,59.3833,143.3,66.15,74,28,7.25,scattered clouds
322,Umzimvubu,PT,32.6667,-17.1,72.72,81,0,5.91,clear sky
323,Babai,ES,42.7762,-9.0603,61.09,86,93,1.01,overcast clouds
324,Kenora,IN,22.7,77.9333,80.91,81,100,7.27,overcast clouds
325,Harrisburg,CA,49.8167,-94.4337,58.17,88,75,8.05,broken clouds
326,Sanghar,US,40.2737,-76.8844,76.21,94,75,1.99,broken clouds
327,Kalmunai,PK,26.0466,68.9481,86.22,65,99,17.07,overcast clouds
